Rolling sums (days),Rainy season (fraction of year),Fraction of eruptions in rainy season,Prediction improvement
30,0.05,0.0,-100.0
30,0.1,0.1,0.0
30,0.15,0.1,-33.33
30,0.2,0.1,-50.0
30,0.25,0.2,-20.0
30,0.3,0.3,0.0
60,0.05,0.0,-100.0
60,0.1,0.1,0.0
60,0.15,0.1,-33.33
60,0.2,0.1,-50.0
60,0.25,0.1,-60.0
60,0.3,0.3,0.0
90,0.05,0.1,100.0
90,0.1,0.2,100.0
90,0.15,0.2,33.33
90,0.2,0.4,100.0
90,0.25,0.4,60.0
90,0.3,0.4,33.33
120,0.05,0.1,100.0
120,0.1,0.1,0.0
120,0.15,0.3,100.0
120,0.2,0.4,100.0
120,0.25,0.4,60.0
120,0.3,0.5,66.67
